dataset,method,method_label,query_rate,contamination_ratio,id_accuracy_mean,id_accuracy_std,gain_mean,gain_ci_low,gain_ci_high,negative_transfer_rate,ece_mean,oem_0_9_mean,accept_rate_mean,runtime_sec_mean,peak_memory_mb_mean,method_rank
CIFAR-10-C + SVHN,frozen,Frozen,0.01,0.5,0.7434466666666667,0.0824841164786552,0.0,0.0,0.0,0.0,0.1503952933816115,0.0903133333333333,0.0,0.4294314463933309,742.1831705729167,0
CIFAR-10-C + SVHN,tent,Tent,0.01,0.5,0.7883600000000001,0.0737483774222443,0.0449133333333333,0.030666499999999996,0.05878349999999992,0.1333333333333333,0.1289136252948642,0.08294,1.0,1.3939923922220865,1494.4638346354166,1
CIFAR-10-C + SVHN,fb_gate_tent,FB-Gate-Tent,0.01,0.5,0.7727533333333334,0.0761127056017784,0.0293066666666666,0.02023933333333332,0.03973699999999995,0.0,0.1336648762445648,0.0839666666666666,0.1633333333333333,1.971130975087484,1538.2952473958333,2
CIFAR-10-C + SVHN,self_gate_tent_zero_bit,Self-Gate Tent (0-bit),0.01,0.5,0.7917333333333333,0.0744625864552742,0.0482866666666666,0.03629283333333328,0.06129499999999997,0.1,0.1245224983067313,0.0800933333333333,0.4433333333333333,1.939622362454732,1538.2452473958333,3
CIFAR-10-C + SVHN,throttle_tent_zero_bit,Throttle Tent (0-bit),0.01,0.5,0.7884933333333334,0.0738261468182038,0.0450466666666666,0.03205766666666664,0.059407499999999946,0.1333333333333333,0.1287442746192217,0.0827466666666666,0.9633333333333332,1.6923161506652833,1494.5763346354167,4
CIFAR-10-C + SVHN,sar_or_come_zero_bit_stable,COME-style 0-bit,0.01,0.5,0.7929266666666667,0.072023683524975,0.0494799999999999,0.03609949999999995,0.06377483333333328,0.1333333333333333,0.1217714886275927,0.0771599999999999,1.0,1.373833100001017,1494.47216796875,5
CIFAR-10-C + SVHN,bitta_style_binary_feedback,BiTTA-style,0.01,0.5,0.7506733333333333,0.0926703387182809,0.0072266666666666,-0.003646833333333323,0.017866999999999966,0.4,0.1631822845401366,0.1084466666666666,1.0,1.025512448946635,785.6501302083333,6
CIFAR-10-C + SVHN,atta_or_simatta_style_active,ATTA-style,0.01,0.5,0.7732,0.0578995563082279,0.0297533333333333,0.01963866666666661,0.04025433333333327,0.1,0.1379695187898476,0.0883933333333333,0.9233333333333332,0.8850755612055461,784.0869954427084,7
CIFAR-10-C + SVHN,eatta_style_low_label,EATTA-style,0.01,0.5,0.7932133333333333,0.0651071251640435,0.0497666666666666,0.040773333333333286,0.058695999999999936,0.0,0.1264486698901653,0.0827866666666666,0.6066666666666667,0.9566471656163532,1494.6763346354169,8
CIFAR-10-C + SVHN,full_label_active_reference,Full-label active,0.01,0.5,0.7740066666666667,0.0623050445366395,0.03056,0.02224549999999997,0.03984733333333328,0.0333333333333333,0.1369165428731839,0.0870333333333333,0.62,0.8526442209879558,784.2328287760416,9
CIFAR-100-C + SVHN,frozen,Frozen,0.01,0.5,0.4673133333333333,0.1290461631738235,0.0,0.0,0.0,0.0,0.2541007132915656,0.0899866666666666,0.0,0.340760064125061,742.9525716145833,0
CIFAR-100-C + SVHN,tent,Tent,0.01,0.5,0.5402266666666667,0.1012820266362212,0.0729133333333333,0.05574666666666663,0.08883183333333325,0.0666666666666666,0.2215417088104784,0.0863666666666666,1.0,1.0867057641347249,1494.9915690104167,1
CIFAR-100-C + SVHN,fb_gate_tent,FB-Gate-Tent,0.01,0.5,0.5141,0.109576875864107,0.0467866666666666,0.035999666666666624,0.05755499999999995,0.0,0.228417536885937,0.0847266666666666,0.17,1.5528454542160035,1538.8904296875,2
CIFAR-100-C + SVHN,self_gate_tent_zero_bit,Self-Gate Tent (0-bit),0.01,0.5,0.53642,0.1063192764823206,0.0691066666666666,0.05464216666666664,0.08353499999999996,0.0333333333333333,0.2188803947680195,0.0832666666666666,0.3266666666666667,1.5526904185612995,1539.0445963541667,3
CIFAR-100-C + SVHN,throttle_tent_zero_bit,Throttle Tent (0-bit),0.01,0.5,0.5402266666666667,0.1012820266362212,0.0729133333333333,0.05705599999999998,0.09023633333333325,0.0666666666666666,0.2215417088104784,0.0863666666666666,1.0,1.3713557720184326,1495.1207356770833,4
CIFAR-100-C + SVHN,sar_or_come_zero_bit_stable,COME-style 0-bit,0.01,0.5,0.5445266666666666,0.100602385429089,0.0772133333333333,0.05992583333333327,0.09351499999999997,0.0333333333333333,0.2133545060696204,0.0820066666666666,1.0,1.0881659348805746,1495.28740234375,5
CIFAR-100-C + SVHN,bitta_style_binary_feedback,BiTTA-style,0.01,0.5,0.4929266666666667,0.1146470263185145,0.0256133333333333,0.014093166666666646,0.03700733333333328,0.1666666666666666,0.266730048794349,0.1084333333333333,1.0,0.7814344962437948,786.4307291666667,6
CIFAR-100-C + SVHN,atta_or_simatta_style_active,ATTA-style,0.01,0.5,0.52498,0.0921676635642704,0.0576666666666666,0.0423258333333333,0.07348899999999997,0.0666666666666666,0.2367044420879085,0.0937266666666666,0.99,0.7010887543360392,786.3765625,7
CIFAR-100-C + SVHN,eatta_style_low_label,EATTA-style,0.01,0.5,0.5609933333333333,0.0797531793046233,0.09368,0.07425116666666665,0.11298099999999994,0.0,0.2183906757792333,0.0913066666666666,1.0,0.8698378721872966,1495.2957356770833,8
CIFAR-100-C + SVHN,full_label_active_reference,Full-label active,0.01,0.5,0.52484,0.0902568656286237,0.0575266666666666,0.042251499999999956,0.07324099999999993,0.0,0.2454904632298648,0.1013666666666666,0.9166666666666666,0.725386627515157,786.3432291666667,9
