dataset,method,method_label,query_rate,contamination_ratio,id_accuracy_mean,id_accuracy_std,gain_mean,gain_ci_low,gain_ci_high,negative_transfer_rate,ece_mean,oem_0_9_mean,accept_rate_mean,runtime_sec_mean,peak_memory_mb_mean,method_rank
CIFAR-10-C,frozen,Frozen,0.01,,0.62339,0.174118729899155,0.0,0.0,0.0,0.0,0.2443199185221269,0.1444133333333333,0.0,0.3734163006146749,741.7342122395834,0
CIFAR-10-C,tent,Tent,0.01,,0.77466,0.0786249156179655,0.15127,0.12484162499999998,0.18087504166666662,0.0,0.1300095034536967,0.08072,1.0,1.2103290955225627,1494.5263346354166,1
CIFAR-10-C,fb_gate_tent,FB-Gate-Tent,0.01,,0.770315,0.0812519638876084,0.146925,0.12074699999999997,0.1746212916666666,0.0,0.1316985908838361,0.0817066666666666,0.52,1.7065908710161846,1538.2244140625,2
CIFAR-10-C,self_gate_tent_zero_bit,Self-Gate Tent (0-bit),0.01,,0.7726233333333333,0.0796376824328585,0.1492333333333333,0.1231390833333333,0.17792591666666663,0.0,0.1304513881807029,0.0805616666666666,0.535,1.7102680246035258,1538.3119140625,3
CIFAR-10-C,throttle_tent_zero_bit,Throttle Tent (0-bit),0.01,,0.7171216666666667,0.1018161788143789,0.0937316666666666,0.06843437499999996,0.11984949999999997,0.0,0.1695796937855084,0.1022666666666666,0.2566666666666666,0.9059393008550009,1343.9693684895833,4
CIFAR-10-C,sar_or_come_zero_bit_stable,COME-style 0-bit,0.01,,0.7729716666666667,0.0798932064562006,0.1495816666666667,0.12235474999999998,0.17682166666666665,0.0,0.1259213384335984,0.0762083333333333,1.0,1.219413117567698,1494.60341796875,5
CIFAR-10-C,bitta_style_binary_feedback,BiTTA-style,0.01,,0.7136183333333334,0.1240993157381082,0.0902283333333333,0.07513699999999998,0.10537554166666664,0.0,0.1863173626790444,0.1197866666666666,1.0,0.89707985719045,785.6709635416667,6
CIFAR-10-C,atta_or_simatta_style_active,ATTA-style,0.01,,0.6943166666666667,0.1380781394677306,0.0709266666666666,0.06101616666666663,0.08247529166666664,0.0,0.1964784836652378,0.1231766666666666,1.0,0.8133682171503703,785.5397135416666,7
CIFAR-10-C,eatta_style_low_label,EATTA-style,0.01,,0.7431466666666666,0.1073125096829968,0.1197566666666666,0.1004090833333333,0.14032062499999995,0.0,0.1594764047307272,0.1014983333333333,1.0,0.8752684593200684,1494.6836263020834,8
CIFAR-10-C,full_label_active_reference,Full-label active,0.01,,0.69643,0.1379972663693876,0.07304,0.06336012499999996,0.0839767916666666,0.0,0.1955893848203867,0.1232116666666666,1.0,0.8004566272099812,785.4772135416666,9
CIFAR-100-C,frozen,Frozen,0.01,,0.374445,0.1638148318288629,0.0,0.0,0.0,0.0,0.3166529359167876,0.1058833333333333,0.0,0.339544665813446,742.20048828125,0
CIFAR-100-C,tent,Tent,0.01,,0.55306,0.0926321798607951,0.178615,0.15608745833333326,0.20270279166666663,0.0,0.2020069540646858,0.0766433333333333,1.0,1.070046881834666,1495.16240234375,1
CIFAR-100-C,fb_gate_tent,FB-Gate-Tent,0.01,,0.5304466666666666,0.1079945815757323,0.1560016666666666,0.13446499999999997,0.177925125,0.0,0.2143452925199456,0.0796616666666666,0.4566666666666666,1.5156548380851746,1539.0154296875,2
CIFAR-100-C,self_gate_tent_zero_bit,Self-Gate Tent (0-bit),0.01,,0.5417333333333333,0.0943560290918853,0.1672883333333333,0.14348437499999994,0.1902917499999999,0.0,0.206195109066423,0.0769766666666666,0.4266666666666667,1.516371770699819,1539.1404296875,3
CIFAR-100-C,throttle_tent_zero_bit,Throttle Tent (0-bit),0.01,,0.55306,0.0926321798607951,0.178615,0.1555362499999999,0.2019284999999999,0.0,0.2020069540646858,0.0766433333333333,1.0,1.3458205223083497,1495.1832356770833,4
CIFAR-100-C,sar_or_come_zero_bit_stable,COME-style 0-bit,0.01,,0.5519649999999999,0.0929210541995693,0.1775199999999999,0.15455883333333328,0.19994695833333326,0.0,0.1926858740484466,0.0710266666666666,1.0,1.0719127893447875,1495.2415690104167,5
CIFAR-100-C,bitta_style_binary_feedback,BiTTA-style,0.01,,0.4749966666666667,0.1192616195052106,0.1005516666666666,0.08551395833333329,0.11435783333333328,0.0,0.2749249981281533,0.1090716666666666,1.0,0.779848317305247,786.4036458333334,6
CIFAR-100-C,atta_or_simatta_style_active,ATTA-style,0.01,,0.4628966666666667,0.1289619572950819,0.0884516666666666,0.07801274999999996,0.09907837499999997,0.0,0.2684631797048449,0.099235,1.0,0.7158052166302998,786.5161458333333,7
CIFAR-100-C,eatta_style_low_label,EATTA-style,0.01,,0.5227999999999999,0.0998982261765459,0.148355,0.1287916666666666,0.16808729166666664,0.0,0.2278156813027585,0.0868433333333333,1.0,0.8729954322179159,1495.3871419270831,8
CIFAR-100-C,full_label_active_reference,Full-label active,0.01,,0.46326,0.1310023433611082,0.088815,0.07845124999999996,0.09874224999999998,0.0,0.2720076126971095,0.102225,1.0,0.7152915875116984,786.1119791666666,9
