method,method_label,gain_mean CIFAR-10-C + SVHN / contam_r0.5,gain_mean CIFAR-10-C / frontier,gain_mean CIFAR-100-C + SVHN / contam_r0.5,gain_mean CIFAR-100-C / frontier,id_accuracy_mean CIFAR-10-C + SVHN / contam_r0.5,id_accuracy_mean CIFAR-10-C / frontier,id_accuracy_mean CIFAR-100-C + SVHN / contam_r0.5,id_accuracy_mean CIFAR-100-C / frontier,negative_transfer_rate CIFAR-10-C + SVHN / contam_r0.5,negative_transfer_rate CIFAR-10-C / frontier,negative_transfer_rate CIFAR-100-C + SVHN / contam_r0.5,negative_transfer_rate CIFAR-100-C / frontier,method_rank
frozen,Frozen,0.0,0.0,0.0,0.0,0.7434466666666667,0.62339,0.4673133333333333,0.374445,0.0,0.0,0.0,0.0,0
tent,Tent,0.0449133333333333,0.15127,0.0729133333333333,0.178615,0.7883600000000001,0.77466,0.5402266666666667,0.55306,0.1333333333333333,0.0,0.0666666666666666,0.0,1
fb_gate_tent,FB-Gate-Tent,0.0293066666666666,0.146925,0.0467866666666666,0.1560016666666666,0.7727533333333334,0.770315,0.5141,0.5304466666666666,0.0,0.0,0.0,0.0,2
self_gate_tent_zero_bit,Self-Gate Tent (0-bit),0.0482866666666666,0.1492333333333333,0.0691066666666666,0.1672883333333333,0.7917333333333333,0.7726233333333333,0.53642,0.5417333333333333,0.1,0.0,0.0333333333333333,0.0,3
throttle_tent_zero_bit,Throttle Tent (0-bit),0.0450466666666666,0.0937316666666666,0.0729133333333333,0.178615,0.7884933333333334,0.7171216666666667,0.5402266666666667,0.55306,0.1333333333333333,0.0,0.0666666666666666,0.0,4
sar_or_come_zero_bit_stable,COME-style 0-bit,0.0494799999999999,0.1495816666666667,0.0772133333333333,0.1775199999999999,0.7929266666666667,0.7729716666666667,0.5445266666666666,0.5519649999999999,0.1333333333333333,0.0,0.0333333333333333,0.0,5
bitta_style_binary_feedback,BiTTA-style,0.0072266666666666,0.0902283333333333,0.0256133333333333,0.1005516666666666,0.7506733333333333,0.7136183333333334,0.4929266666666667,0.4749966666666667,0.4,0.0,0.1666666666666666,0.0,6
atta_or_simatta_style_active,ATTA-style,0.0297533333333333,0.0709266666666666,0.0576666666666666,0.0884516666666666,0.7732,0.6943166666666667,0.52498,0.4628966666666667,0.1,0.0,0.0666666666666666,0.0,7
eatta_style_low_label,EATTA-style,0.0497666666666666,0.1197566666666666,0.09368,0.148355,0.7932133333333333,0.7431466666666666,0.5609933333333333,0.5227999999999999,0.0,0.0,0.0,0.0,8
full_label_active_reference,Full-label active,0.03056,0.07304,0.0575266666666666,0.088815,0.7740066666666667,0.69643,0.52484,0.46326,0.0333333333333333,0.0,0.0,0.0,9
