method,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,ece_std,brier_mean,oem_0_9_mean,accept_rate_mean,collapse_rate,runtime_sec_mean,peak_memory_mb_mean
atta_or_simatta_style_active,0.0,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.6154592514038086,742.7155924479167
atta_or_simatta_style_active,0.001,0.4347316666666667,0.13116350062223953,0.06028666666666667,0.04249157231162581,-0.00930000000000003,0.06666666666666667,0.30381345137070864,0.09466188401155826,0.8334267596403758,0.11829833333333334,1.0,0.0,0.6830557346343994,786.3770833333333
atta_or_simatta_style_active,0.005,0.45665833333333333,0.12833573460590064,0.08221333333333333,0.04210610272876902,0.016199999999999992,0.0,0.27542698237519087,0.0853820708767519,0.7902275492747625,0.10265833333333334,1.0,0.0,0.6974487702051798,787.5078125
atta_or_simatta_style_active,0.01,0.4628966666666667,0.12896195729508192,0.08845166666666666,0.041859419658235746,0.02180000000000004,0.0,0.26846317970484496,0.08494981663233693,0.779071256518364,0.099235,1.0,0.0,0.7158052166302998,786.5161458333333
atta_or_simatta_style_active,0.02,0.46609833333333334,0.12656678613723013,0.09165333333333334,0.0438801814910059,0.021299999999999986,0.0,0.2632982217499241,0.08222702855928124,0.7721352388461431,0.09627666666666666,1.0,0.0,0.7632539908091227,1271.07060546875
atta_or_simatta_style_active,0.05,0.48316,0.11869236435395585,0.10871499999999999,0.053187451766593674,0.024699999999999944,0.0,0.24856194556370997,0.0735481433056079,0.7444363315900167,0.09057666666666667,1.0,0.0,0.9321004947026571,1542.6004557291667
atta_or_simatta_style_active,0.1,0.5089966666666667,0.10628636082383826,0.13455166666666668,0.0677614021718396,0.031200000000000006,0.0,0.22972545997786026,0.06165196798290048,0.7052022208770116,0.08498333333333334,1.0,0.0,1.2266207973162333,1543.5244140625
bitta_style_binary_feedback,0.0,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.6064252694447835,743.0390299479167
bitta_style_binary_feedback,0.001,0.427435,0.12830007044530875,0.052989999999999995,0.051165834403139494,-0.04580000000000001,0.11666666666666667,0.31679437763759244,0.09339041624839782,0.8510057141383489,0.12722666666666668,1.0,0.0,0.7134138186772664,786.3427083333333
bitta_style_binary_feedback,0.005,0.4575783333333333,0.12071419403385394,0.08313333333333334,0.05548684579697405,-0.03440000000000004,0.016666666666666666,0.2911418016564225,0.08183172901504326,0.8014096230268478,0.11650166666666667,1.0,0.0,0.7541783690452576,787.2630208333334
bitta_style_binary_feedback,0.01,0.4749966666666667,0.11926161950521068,0.10055166666666666,0.05769971797853314,0.0023999999999999577,0.0,0.27492499812815335,0.0793715184269052,0.7721612224976222,0.10907166666666666,1.0,0.0,0.779848317305247,786.4036458333334
bitta_style_binary_feedback,0.02,0.48823833333333333,0.11375671347916978,0.11379333333333333,0.06133239768384827,0.017299999999999982,0.0,0.2605017761671046,0.07379292175217046,0.7483688245217005,0.10164666666666666,1.0,0.0,0.8328660686810812,1115.5318196614583
bitta_style_binary_feedback,0.05,0.5030533333333334,0.1105325221972105,0.12860833333333332,0.06565897847821164,0.03049999999999997,0.0,0.2437456912293099,0.06841501209307782,0.7210331499576569,0.09322499999999999,1.0,0.0,0.9996022502581279,1541.9876302083333
bitta_style_binary_feedback,0.1,0.5161333333333333,0.10363190181332349,0.14168833333333333,0.0741358603766444,0.03610000000000002,0.0,0.22999795580998683,0.059964207219229015,0.698123016456763,0.08662833333333333,1.0,0.0,1.2905606508255005,1542.185546875
eatta_style_low_label,0.0,0.48893166666666665,0.11930904534971304,0.11448666666666665,0.05587761889867276,0.022600000000000064,0.0,0.24043117392567298,0.07072671704937798,0.7324770882725715,0.08600833333333333,1.0,0.0,0.7593707243601481,1495.4972981770834
eatta_style_low_label,0.001,0.49207,0.1036219257277407,0.11762500000000001,0.07681601092154099,-0.003300000000000025,0.016666666666666666,0.2704210191030117,0.06539282104928518,0.7519199659427007,0.112085,1.0,0.0,0.855585781733195,1495.21005859375
eatta_style_low_label,0.005,0.5175500000000001,0.10101757105086691,0.14310499999999998,0.07886715804848092,0.024800000000000044,0.0,0.23543479864215477,0.056205316185707795,0.6994646554191907,0.09085666666666666,1.0,0.0,0.8791777094205221,1495.2558919270834
eatta_style_low_label,0.01,0.5227999999999999,0.09989822617654597,0.14835500000000001,0.08070006705098763,0.024699999999999944,0.0,0.22781568130275856,0.05413909151307376,0.6893386195103327,0.08684333333333334,1.0,0.0,0.8729954322179159,1495.3871419270833
