method,contamination_ratio,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,brier_mean,oem_0_9_mean,collapse_rate,accept_rate_mean,runtime_sec_mean,peak_memory_mb_mean,actual_query_rate_mean,query_count_mean,dataset,method_label,supervision_type,supervision_events_per_1000,method_rank
frozen,0.5,0.01,0.7434466666666667,0.0824841164786552,0.0,0.0,0.0,0.0,0.1503952933816115,0.4009256248672803,0.0903133333333333,0.0,0.0,0.4294314463933309,742.1831705729167,0.0,0.0,CIFAR-10-C + SVHN,Frozen,0-bit,0.0,0
tent,0.5,0.01,0.7883600000000001,0.0737483774222443,0.0449133333333333,0.0386931940316099,-0.0133999999999999,0.1333333333333333,0.1289136252948642,0.3356186926364898,0.08294,0.0,1.0,1.3939923922220865,1494.4638346354166,0.0,0.0,CIFAR-10-C + SVHN,Tent,0-bit,0.0,1
fb_gate_tent,0.5,0.01,0.7727533333333334,0.0761127056017784,0.0293066666666666,0.0270169669975577,0.0,0.0,0.1336648762445648,0.3572464158137639,0.0839666666666666,0.0,0.1633333333333333,1.971130975087484,1538.2952473958333,0.01,100.0,CIFAR-10-C + SVHN,FB-Gate-Tent,binary correctness events,20.0,2
self_gate_tent_zero_bit,0.5,0.01,0.7917333333333333,0.0744625864552742,0.0482866666666666,0.0359242760427458,-0.0051999999999999,0.1,0.1245224983067313,0.3293104643623034,0.0800933333333333,0.0,0.4433333333333333,1.939622362454732,1538.2452473958333,0.01,100.0,CIFAR-10-C + SVHN,Self-Gate Tent (0-bit),0-bit,0.0,3
throttle_tent_zero_bit,0.5,0.01,0.7884933333333334,0.0738261468182038,0.0450466666666666,0.0386119396697119,-0.0133999999999999,0.1333333333333333,0.1287442746192217,0.3352669283747673,0.0827466666666666,0.0,0.9633333333333332,1.6923161506652833,1494.5763346354167,0.01,100.0,CIFAR-10-C + SVHN,Throttle Tent (0-bit),0-bit,0.0,4
sar_or_come_zero_bit_stable,0.5,0.01,0.7929266666666667,0.072023683524975,0.0494799999999999,0.0391994581243335,-0.0088,0.1333333333333333,0.1217714886275927,0.325213065246741,0.0771599999999999,0.0,1.0,1.373833100001017,1494.47216796875,0.0,0.0,CIFAR-10-C + SVHN,COME-style 0-bit,0-bit,0.0,5
bitta_style_binary_feedback,0.5,0.01,0.7506733333333333,0.0926703387182809,0.0072266666666666,0.0298361841571182,-0.0779999999999999,0.4,0.1631822845401366,0.4031796356042226,0.1084466666666666,0.0,1.0,1.025512448946635,785.6501302083333,0.01,100.0,CIFAR-10-C + SVHN,BiTTA-style,binary correctness events,10.0,6
eatta_style_low_label,0.5,0.01,0.7932133333333333,0.0651071251640435,0.0497666666666666,0.0261101688914535,0.0071999999999999,0.0,0.1264486698901653,0.3292576447129249,0.0827866666666666,0.0,0.6066666666666667,0.9566471656163532,1494.6763346354169,0.01,100.0,CIFAR-10-C + SVHN,EATTA-style,label queries,10.0,8
frozen,0.5,0.01,0.4673133333333333,0.1290461631738235,0.0,0.0,0.0,0.0,0.2541007132915656,0.765040518840154,0.0899866666666666,0.0,0.0,0.340760064125061,742.9525716145833,0.0,0.0,CIFAR-100-C + SVHN,Frozen,0-bit,0.0,0
tent,0.5,0.01,0.5402266666666667,0.1012820266362212,0.0729133333333333,0.047242257043612,-0.0048,0.0666666666666666,0.2215417088104784,0.6661058286825816,0.0863666666666666,0.0,1.0,1.0867057641347249,1494.9915690104167,0.0,0.0,CIFAR-100-C + SVHN,Tent,0-bit,0.0,1
fb_gate_tent,0.5,0.01,0.5141,0.109576875864107,0.0467866666666666,0.0299855566764301,0.0,0.0,0.228417536885937,0.698014090458552,0.0847266666666666,0.0,0.17,1.5528454542160035,1538.8904296875,0.01,100.0,CIFAR-100-C + SVHN,FB-Gate-Tent,binary correctness events,20.0,2
self_gate_tent_zero_bit,0.5,0.01,0.53642,0.1063192764823206,0.0691066666666666,0.0407694183336525,-0.0002,0.0333333333333333,0.2188803947680195,0.6690093636512756,0.0832666666666666,0.0,0.3266666666666667,1.5526904185612995,1539.0445963541667,0.01,100.0,CIFAR-100-C + SVHN,Self-Gate Tent (0-bit),0-bit,0.0,3
throttle_tent_zero_bit,0.5,0.01,0.5402266666666667,0.1012820266362212,0.0729133333333333,0.047242257043612,-0.0048,0.0666666666666666,0.2215417088104784,0.6661058286825816,0.0863666666666666,0.0,1.0,1.3713557720184326,1495.1207356770833,0.01,100.0,CIFAR-100-C + SVHN,Throttle Tent (0-bit),0-bit,0.0,4
sar_or_come_zero_bit_stable,0.5,0.01,0.5445266666666666,0.100602385429089,0.0772133333333333,0.0474935330140948,-0.0008,0.0333333333333333,0.2133545060696204,0.6565098722775777,0.0820066666666666,0.0,1.0,1.0881659348805746,1495.28740234375,0.0,0.0,CIFAR-100-C + SVHN,COME-style 0-bit,0-bit,0.0,5
bitta_style_binary_feedback,0.5,0.01,0.4929266666666667,0.1146470263185145,0.0256133333333333,0.032536152129628,-0.0534,0.1666666666666666,0.266730048794349,0.748767093817393,0.1084333333333333,0.0,1.0,0.7814344962437948,786.4307291666667,0.01,100.0,CIFAR-100-C + SVHN,BiTTA-style,binary correctness events,10.0,6
eatta_style_low_label,0.5,0.01,0.5609933333333333,0.0797531793046233,0.09368,0.0577694012790329,0.0249999999999999,0.0,0.2183906757792333,0.6431452492872874,0.0913066666666666,0.0,1.0,0.8698378721872966,1495.2957356770833,0.01,100.0,CIFAR-100-C + SVHN,EATTA-style,label queries,10.0,8
