method,method_label,supervision_type,actual_query_rate_mean,events_per_1000,c10_frontier_gain,c10_frontier_ntr,c10_contam_gain,c10_contam_ntr,c100_frontier_gain,c100_frontier_ntr,c100_contam_gain,c100_contam_ntr
frozen,Frozen,0-bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tent,Tent,0-bit,0.0,0.0,0.15127,0.0,0.0449133333333333,0.1333333333333333,0.178615,0.0,0.0729133333333333,0.0666666666666666
fb_gate_tent,FB-Gate-Tent,binary correctness events,0.01,20.0,0.146925,0.0,0.0293066666666666,0.0,0.1560016666666666,0.0,0.0467866666666666,0.0
self_gate_tent_zero_bit,Self-Gate Tent (0-bit),0-bit,0.01,0.0,0.1492333333333333,0.0,0.0482866666666666,0.1,0.1672883333333333,0.0,0.0691066666666666,0.0333333333333333
throttle_tent_zero_bit,Throttle Tent (0-bit),0-bit,0.01,0.0,0.0937316666666666,0.0,0.0450466666666666,0.1333333333333333,0.178615,0.0,0.0729133333333333,0.0666666666666666
sar_or_come_zero_bit_stable,COME-style 0-bit,0-bit,0.0,0.0,0.1495816666666667,0.0,0.0494799999999999,0.1333333333333333,0.1775199999999999,0.0,0.0772133333333333,0.0333333333333333
bitta_style_binary_feedback,BiTTA-style,binary correctness events,0.01,10.0,0.0902283333333333,0.0,0.0072266666666666,0.4,0.1005516666666666,0.0,0.0256133333333333,0.1666666666666666
atta_or_simatta_style_active,ATTA-style,label queries,0.01,10.0,0.0709266666666666,0.0,0.0297533333333333,0.1,0.0884516666666666,0.0,0.0576666666666666,0.0666666666666666
eatta_style_low_label,EATTA-style,label queries,0.01,10.0,0.1197566666666666,0.0,0.0497666666666666,0.0,0.148355,0.0,0.09368,0.0
full_label_active_reference,Full-label active,label queries,0.01,10.0,0.07304,0.0,0.03056,0.0333333333333333,0.088815,0.0,0.0575266666666666,0.0
