env_name,method,query_rate,feedback_noise,accuracy_mean,accuracy_std,gain_mean,gain_std,negative_transfer_rate,accept_rate
env_minus,fb_gate,0.0,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.0,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.0,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.001,0.0,0.8314,0.0808236119583875,-0.03484999999999998,0.07792696901586764,0.2,0.2
env_minus,fb_gate,0.001,0.05,0.7981,0.09425639898701833,-0.06814999999999997,0.0933584490016838,0.4,0.4
env_minus,fb_gate,0.001,0.1,0.7981,0.09425639898701833,-0.06814999999999997,0.0933584490016838,0.4,0.4
env_minus,fb_gate,0.005,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.005,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.005,0.1,0.83295,0.0726449843416598,-0.033299999999999996,0.07446106365074298,0.2,0.2
env_minus,fb_gate,0.01,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.01,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.01,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.02,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.02,0.05,0.83295,0.0726449843416598,-0.033299999999999996,0.07446106365074298,0.2,0.2
env_minus,fb_gate,0.02,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.05,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.05,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.05,0.1,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.1,0.0,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
env_minus,fb_gate,0.1,0.05,0.86625,0.004921254921257391,0.0,0.0,0.0,0.0
